,subCategory,start_date,start_time,end_date,end_time,latitude,longitude
83,carAccident,2022-02-16,15:22:00,2022-02-16,16:00:00,41.168551489,-8.589737615
84,roadWorks,2022-02-16,15:35:00,2022-02-16,16:05:00,41.129709634,-8.636967964
85,roadWorks,2022-02-16,16:30:00,2022-02-16,17:00:00,41.150776059,-8.569666104
86,roadWorks,2022-02-16,16:45:00,2022-02-16,23:45:00,41.167514109,-8.618593955
87,roadWorks,2022-02-16,17:45:00,2022-02-16,23:45:00,41.176939691,-8.610684414
88,carAccident,2022-02-16,17:45:00,2022-02-16,18:00:00,41.1689175,-8.644202389
89,carAccident,2022-02-16,18:30:00,2022-02-16,18:45:00,41.171304023,-8.647163547
90,carAccident,2022-02-16,19:15:00,2022-02-16,19:30:00,41.172511385,-8.629267849
91,buildingFire,2022-02-16,19:15:00,2022-02-16,19:30:00,41.149700357,-8.58954559
92,pothole,2022-02-17,18:38:00,2022-02-17,23:45:00,41.166519334,-8.574639255
93,carAccident,2022-02-16,19:52:00,2022-02-16,00:00:00,41.178819363,-8.622273999
94,roadWorks,2022-02-16,19:45:00,2022-02-16,20:45:00,41.164323934,-8.611034904
95,carAccident,2022-02-17,07:20:00,2022-02-17,08:45:00,41.171890852,-8.595622711
96,roadWorks,2022-02-17,09:00:00,2022-02-17,10:00:00,41.16175779,-8.603964642
97,roadWorks,2022-02-17,09:30:00,2022-02-17,10:30:00,41.147634171,-8.609461458
98,roadWorks,2022-02-17,09:45:00,2022-02-17,10:30:00,41.164501196,-8.610963406
99,roadWorks,2022-02-17,09:45:00,2022-02-17,10:45:00,41.146044052,-8.620300119
100,roadWorks,2022-02-17,11:00:00,2022-02-17,13:00:00,41.160185119,-8.6429661
101,roadWorks,2022-02-17,11:00:00,2022-02-17,12:00:00,41.14620035,-8.610473778
102,roadWorks,2022-02-17,11:45:00,2022-02-17,12:30:00,41.147076935,-8.608817513
103,roadWorks,2022-02-17,13:00:00,2022-02-17,16:00:00,41.149518585,-8.588794572
104,pothole,2022-02-17,08:00:00,2022-02-17,23:45:00,41.176159922,-8.632255871
105,pothole,2022-02-17,08:00:00,2022-02-17,23:45:00,41.164403939,-8.634128807
106,pothole,2022-02-17,08:00:00,2022-02-17,23:45:00,41.149193332,-8.66251978
107,roadWorks,2022-02-17,08:00:00,2022-02-17,23:45:00,41.146364359,-8.596607301
108,roadWorks,2022-02-17,08:00:00,2022-02-17,23:45:00,41.170125101,-8.58169489
109,roadWorks,2022-02-17,08:00:00,2022-02-17,23:45:00,41.166916466,-8.637210666
110,roadWorks,2022-02-17,00:45:00,2022-02-17,23:45:00,41.157149792,-8.638000283
111,roadWorks,2022-02-17,00:45:00,2022-02-17,23:45:00,41.170650523,-8.644156413
112,pothole,2022-02-17,00:45:00,2022-02-17,23:45:00,41.151225676,-8.646020968
113,roadWorks,2022-02-17,08:00:00,2022-02-17,23:45:00,41.177616478,-8.573777345
114,roadWorks,2022-02-17,08:30:00,2022-02-17,23:45:00,41.160873811,-8.636704399
115,roadWorks,2022-02-17,08:45:00,2022-02-17,23:45:00,41.166852712,-8.626754241
116,roadWorks,2022-02-17,10:00:00,2022-02-17,16:00:00,41.161155362,-8.633041203
117,roadWorks,2022-02-17,08:45:00,2022-02-17,23:45:00,41.163805852,-8.605289445
118,roadWorks,2022-02-17,09:00:00,2022-02-17,23:45:00,41.148346293,-8.636049605
119,pothole,2022-02-17,09:00:00,2022-02-17,23:45:00,41.17507811,-8.590002738999999
120,roadWorks,2022-02-17,09:45:00,2022-02-17,16:00:00,41.147350952,-8.61146648
121,pothole,2022-02-17,10:15:00,2022-02-17,23:45:00,41.170206444,-8.607193981
122,roadWorks,2022-02-17,10:15:00,2022-02-17,23:45:00,41.147789498,-8.599313399
123,roadWorks,2022-02-17,10:30:00,2022-02-17,23:45:00,41.166936341,-8.594671668
124,roadWorks,2022-02-17,10:30:00,2022-02-17,23:45:00,41.159156668,-8.60308052
125,pothole,2022-02-17,11:00:00,2022-02-17,23:45:00,41.17751611,-8.618401423
126,pothole,2022-02-17,11:00:00,2022-02-17,23:45:00,41.17476427,-8.606574306
127,roadWorks,2022-02-17,11:15:00,2022-02-17,23:45:00,41.166273922,-8.592258183
128,roadWorks,2022-02-17,11:15:00,2022-02-17,23:45:00,41.163494441,-8.684695237
129,roadWorks,2022-02-17,11:15:00,2022-02-17,23:45:00,41.15176815,-8.649399461
130,roadWorks,2022-02-17,12:30:00,2022-02-17,13:30:00,41.166067034,-8.67841774
131,roadWorks,2022-02-17,12:30:00,2022-02-17,13:30:00,41.149621789,-8.607471044
132,roadWorks,2022-02-17,13:00:00,2022-02-17,23:45:00,41.15094669,-8.606741483
133,roadWorks,2022-02-17,13:00:00,2022-02-17,23:45:00,41.163014983,-8.624846394
134,roadWorks,2022-02-17,08:45:00,2022-02-17,23:45:00,41.149948374,-8.618731461
135,roadWorks,2022-02-17,08:45:00,2022-02-17,23:45:00,41.146726947,-8.631810625
136,roadWorks,2022-02-17,10:15:00,2022-02-17,23:45:00,41.149282072,-8.612158498
137,roadWorks,2022-02-17,14:15:00,2022-02-17,14:45:00,41.150549307,-8.609023094
138,carAccident,2022-02-17,14:27:00,2022-02-17,16:00:00,41.147154743,-8.602019581
139,roadWorks,2022-02-17,14:30:00,2022-02-17,16:30:00,41.161704768,-8.652376965
140,roadWorks,2022-02-17,14:40:00,2022-02-17,14:55:00,41.150960084,-8.603732212
141,carStopped,2022-02-17,14:45:00,2022-02-17,16:30:00,41.161475969,-8.649191801
142,carAccident,2022-02-17,14:45:00,2022-02-17,15:45:00,41.172411375,-8.63041199
143,pothole,2022-02-17,15:00:00,2022-02-17,23:45:00,41.150543259,-8.627391779
144,carAccident,2022-02-17,16:10:00,2022-02-17,16:20:00,41.148168097,-8.612560233
145,roadWorks,2022-02-17,16:00:00,2022-02-17,16:30:00,41.150379666,-8.609722456
146,carStopped,2022-02-17,16:15:00,2022-02-17,17:15:00,41.146634039,-8.584967399
147,roadWorks,2022-02-17,16:45:00,2022-02-17,23:45:00,41.155231928,-8.610608962
